danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,genre
0.531,0.8029999999999999,-3.284,0.0717,0.0796,1.7100000000000002e-05,0.176,0.221,Rap
0.823,0.552,-7.57,0.324,0.0174,0.0,0.122,0.418,Rap
0.835,0.637,-6.582000000000001,0.271,0.4029999999999999,0.0,0.142,0.7120000000000001,Rap
0.599,0.509,-5.895,0.148,0.0446,0.00367,0.146,0.04,Rap
0.54,0.77,-3.981,0.389,0.1939999999999999,2.7399999999999995e-05,0.372,0.565,Rap
0.687,0.672,-5.975,0.0573,0.198,0.0,0.175,0.792,Rap
0.735,0.662,-7.862,0.05,0.0104,0.0,0.153,0.124,Rap
0.899,0.479,-4.122,0.321,0.118,0.0,0.107,0.693,Rap
0.8440000000000001,0.5529999999999999,-7.284,0.356,0.156,1.32e-06,0.0816,0.511,Rap
0.568,0.619,-6.899,0.414,0.138,1.67e-06,0.11,0.293,Rap
0.816,0.502,-6.02,0.319,0.611,0.0,0.341,0.3379999999999999,Rap
0.779,0.597,-9.652,0.434,0.723,4.47e-05,0.0508,0.6459999999999999,Rap
0.856,0.652,-5.324,0.143,0.177,0.0,0.193,0.471,Rap
0.6920000000000001,0.521,-8.465,0.33,0.301,0.0,0.0565,0.4629999999999999,Rap
0.743,0.731,-6.956,0.345,0.0193,0.0,0.108,0.593,Rap
0.959,0.55,-8.012,0.1969999999999999,0.0187,0.0,0.1119999999999999,0.7979999999999999,Rap
0.772,0.634,-6.101,0.212,0.135,0.0,0.432,0.6709999999999999,Rap
0.615,0.871,-3.804,0.281,0.0388,0.0,0.246,0.3379999999999999,Rap
0.723,0.758,-7.303,0.148,0.000588,0.0,0.357,0.628,Rap
0.957,0.46,-7.513,0.325,0.00418,0.000748,0.0947,0.191,Rap
0.493,0.826,-3.1060000000000003,0.311,0.095,3.42e-06,0.252,0.75,Rap
0.8,0.568,-8.199,0.0409,0.8220000000000001,4.27e-06,0.102,0.574,Rap
0.835,0.482,-8.607000000000001,0.367,0.262,0.0,0.0991,0.4479999999999999,Rap
0.614,0.5429999999999999,-7.178,0.374,0.0077599999999999,3.28e-05,0.3829999999999999,0.485,Rap
0.906,0.395,-11.277,0.206,0.0103,0.000195,0.1169999999999999,0.376,Rap
0.862,0.685,-7.699,0.242,0.0342,0.0,0.204,0.672,Rap
0.8170000000000001,0.6459999999999999,-5.12,0.249,0.0152,0.0,0.125,0.835,Rap
0.5870000000000001,0.665,-6.997999999999999,0.372,0.1969999999999999,0.0,0.1119999999999999,0.222,Rap
0.79,0.677,-5.27,0.104,0.0151,1.06e-05,0.1689999999999999,0.75,Rap
0.655,0.607,-5.815,0.0862,0.5539999999999999,0.0,0.115,0.2,Rap
0.691,0.6829999999999999,-7.335,0.0954,0.547,0.0,0.221,0.456,Rap
0.508,0.513,-11.572,0.517,0.0673,1.19e-06,0.5579999999999999,0.322,Rap
0.885,0.54,-8.559,0.242,0.0363,0.0,0.3379999999999999,0.865,Rap
0.542,0.674,-4.169,0.21,0.0588,0.0,0.0955,0.667,Rap
0.69,0.211,-15.667,0.0557,0.402,0.0107,0.1939999999999999,0.0694,Rap
0.701,0.768,-3.531,0.2289999999999999,0.354,0.0,0.148,0.7240000000000001,Rap
0.812,0.522,-5.287000000000001,0.257,0.0433,0.0,0.154,0.38,Rap
0.778,0.7859999999999999,-4.61,0.358,0.129,0.0,0.118,0.241,Rap
0.643,0.594,-5.191,0.0312,0.0695,1.46e-05,0.115,0.195,Rap
0.884,0.657,-4.569,0.0977,0.00589,0.0,0.154,0.489,Rap
0.732,0.636,-6.162000000000001,0.0497,0.0847,0.0,0.241,0.358,Rap
0.5870000000000001,0.711,-6.33,0.42,0.171,0.0,0.125,0.381,Rap
0.879,0.4479999999999999,-8.57,0.222,0.0346,0.0,0.2239999999999999,0.278,Rap
0.623,0.473,-8.336,0.461,0.626,0.0,0.119,0.138,Rap
0.706,0.5760000000000001,-7.665,0.2,0.0199,0.0,0.133,0.319,Rap
0.82,0.72,-3.693,0.29,0.0168,0.0,0.214,0.647,Rap
0.718,0.469,-11.092,0.179,0.0904,0.0,0.133,0.585,Rap
0.925,0.591,-5.662999999999999,0.157,0.0193,0.0,0.108,0.158,Rap
0.785,0.871,-2.692,0.265,0.144,0.0,0.309,0.315,Rap
0.85,0.183,-16.45,0.344,0.8079999999999999,0.0,0.0975,0.7190000000000001,Rap
0.797,0.722,-6.23,0.0601,0.0925,0.0,0.1119999999999999,0.3379999999999999,Rap
0.531,0.759,-7.002000000000001,0.387,0.0706,0.0,0.318,0.304,Rap
0.555,0.769,-5.192,0.3379999999999999,0.324,0.0,0.1639999999999999,0.365,Rap
0.831,0.499,-8.442,0.114,0.2689999999999999,0.0,0.3,0.511,Rap
0.765,0.5529999999999999,-7.1160000000000005,0.358,0.00822,0.0,0.206,0.565,Rap
0.762,0.919,-3.378,0.069,0.295,0.0,0.126,0.603,Rap
0.7020000000000001,0.708,-5.3660000000000005,0.0547,0.201,0.0,0.118,0.713,Rap
0.575,0.909,-2.134,0.0749,0.107,0.000535,0.272,0.177,Rap
0.8390000000000001,0.6679999999999999,-6.01,0.307,0.486,3.95e-06,0.172,0.638,Rap
0.524,0.4679999999999999,-9.73,0.223,0.099,0.00131,0.1119999999999999,0.149,Rap
0.843,0.359,-7.417000000000001,0.461,0.069,0.0,0.12,0.156,Rap
0.489,0.8240000000000001,-5.209,0.225,0.000832,0.0,0.0999,0.315,Rap
0.838,0.7709999999999999,-3.791,0.244,0.0117,0.0,0.0853,0.405,Rap
0.5479999999999999,0.742,-5.7410000000000005,0.0498,0.0184,0.0,0.153,0.31,Rap
0.6859999999999999,0.609,-6.784,0.165,0.142,0.0,0.0631,0.737,Rap
0.539,0.937,-5.265,0.123,0.0599,2e-06,0.0915,0.775,Rap
0.736,0.67,-6.702000000000001,0.311,0.186,0.0,0.114,0.845,Rap
0.599,0.748,-7.713999999999999,0.311,0.0255,0.0,0.484,0.2339999999999999,Rap
0.611,0.478,-5.839,0.107,0.035,0.0,0.107,0.138,Rap
0.8759999999999999,0.608,-6.019,0.109,0.0227,1.16e-05,0.107,0.258,Rap
0.737,0.429,-10.252,0.0785,0.632,0.0,0.104,0.147,Rap
0.757,0.579,-9.174,0.0655,0.0877,0.0,0.104,0.537,Rap
0.825,0.733,-5.625,0.0969,0.349,0.0,0.1119999999999999,0.62,Rap
0.75,0.502,-6.589,0.0795,0.0142,0.0,0.237,0.145,Rap
0.83,0.376,-8.073,0.19,0.0121,8.07e-06,0.218,0.165,Rap
0.8390000000000001,0.81,-5.274,0.0568,0.501,0.0,0.1169999999999999,0.8140000000000001,Rap
0.948,0.5379999999999999,-7.527,0.408,0.0212,0.0,0.0944,0.588,Rap
0.782,0.713,-6.5760000000000005,0.0899,0.0619,0.00125,0.108,0.68,Rap
0.906,0.351,-10.18,0.239,0.00591,0.0,0.109,0.315,Rap
0.583,0.8290000000000001,-4.603,0.134,0.00864,0.0,0.0426,0.575,Rap
0.87,0.446,-9.818,0.424,0.449,0.0,0.16,0.684,Rap
0.7759999999999999,0.6940000000000001,-7.39,0.0327,0.385,0.00238,0.104,0.261,Rap
0.78,0.657,-7.149,0.317,0.0321,2.56e-06,0.3389999999999999,0.648,Rap
0.821,0.485,-12.369000000000002,0.411,0.324,0.0,0.105,0.41,Rap
0.95,0.514,-5.232,0.0816,0.00912,0.0,0.1009999999999999,0.478,Rap
0.662,0.7959999999999999,-7.9,0.212,0.168,0.0,0.139,0.6940000000000001,Rap
0.767,0.583,-7.907999999999999,0.193,0.264,0.0,0.123,0.254,Rap
0.718,0.552,-6.287000000000001,0.44,0.557,0.0,0.119,0.427,Rap
0.7490000000000001,0.794,-5.063,0.064,0.0193,0.0,0.5429999999999999,0.46,Rap
0.884,0.492,-5.343,0.1119999999999999,0.16,0.0,0.359,0.11,Rap
0.938,0.5589999999999999,-6.734,0.312,0.0546,0.0,0.157,0.76,Rap
0.5479999999999999,0.506,-7.434,0.102,0.203,0.0001,0.0788,0.557,Rap
0.752,0.489,-5.233,0.1369999999999999,0.11,3.57e-06,0.2019999999999999,0.373,Rap
0.59,0.618,-5.756,0.3339999999999999,0.0127,0.0,0.244,0.153,Rap
0.653,0.7959999999999999,-4.05,0.245,0.24,0.0,0.108,0.405,Rap
0.754,0.909,-3.323,0.23,0.138,0.0,0.281,0.591,Rap
0.813,0.586,-10.478,0.379,0.0547,0.0,0.238,0.7979999999999999,Rap
0.508,0.921,-1.644,0.303,0.246,0.0,0.221,0.6809999999999999,Rap
0.794,0.637,-6.372999999999999,0.267,0.11,0.0,0.185,0.503,Rap
0.748,0.705,-4.547,0.485,0.204,0.0,0.246,0.483,Rap
0.895,0.418,-7.529,0.418,0.0227,0.0,0.0821,0.594,Rap
0.8270000000000001,0.642,-4.29,0.242,0.00905,1.5e-06,0.0865,0.181,Rap
0.901,0.598,-6.934,0.17,0.0192,0.0,0.0791,0.355,Rap
0.5479999999999999,0.7240000000000001,-6.681,0.275,0.39,0.0,0.469,0.481,Rap
0.831,0.8140000000000001,-7.364,0.42,0.0598,0.0134,0.0556,0.389,Rap
0.82,0.5,-11.1,0.452,0.106,0.0,0.183,0.7290000000000001,Rap
0.797,0.8440000000000001,-5.482,0.275,0.0651,0.0,0.087,0.52,Rap
0.82,0.71,-4.263999999999999,0.181,0.00299,0.0,0.1969999999999999,0.518,Rap
0.687,0.575,-8.169,0.4539999999999999,0.0473,0.0,0.0981,0.3939999999999999,Rap
0.7240000000000001,0.675,-5.267,0.0867,0.0978,9.41e-06,0.351,0.325,Rap
0.7859999999999999,0.487,-12.404000000000002,0.184,0.291,1.86e-06,0.128,0.7240000000000001,Rap
0.6729999999999999,0.649,-8.433,0.196,0.188,0.0,0.122,0.47,Rap
0.406,0.494,-9.117,0.0601,0.0274,0.0,0.555,0.2,Rap
0.685,0.746,-4.558,0.2739999999999999,0.0127,0.0,0.32,0.594,Rap
0.7659999999999999,0.809,-6.122999999999999,0.2789999999999999,0.0011,0.0,0.168,0.325,Rap
0.953,0.335,-11.377,0.479,0.223,1.28e-05,0.113,0.2739999999999999,Rap
