danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,genre
0.7759999999999999,0.736,-4.612,0.247,0.0802,0.0,0.159,0.233,Rap
0.8440000000000001,0.616,-10.648,0.128,0.262,0.0,0.0637,0.422,Rap
0.7,0.722,-3.5580000000000003,0.0369,0.221,0.0,0.272,0.7559999999999999,Rap
0.507,0.5760000000000001,-10.001,0.319,0.23,0.0,0.11,0.437,Rap
0.906,0.545,-4.977,0.344,0.181,0.0,0.091,0.5429999999999999,Rap
0.799,0.647,-6.553,0.307,0.0748,1.13e-05,0.506,0.586,Rap
0.976,0.546,-6.854,0.26,0.0466,1.39e-05,0.0945,0.852,Rap
0.7509999999999999,0.745,-5.452000000000001,0.3379999999999999,0.096,0.0,0.108,0.5479999999999999,Rap
0.746,0.497,-5.785,0.149,0.00944,8.6e-05,0.1009999999999999,0.25,Rap
0.745,0.642,-6.257000000000001,0.287,0.0204,0.0,0.0658,0.226,Rap
0.54,0.77,-3.981,0.389,0.1939999999999999,2.7399999999999995e-05,0.372,0.565,Rap
0.759,0.727,-5.617000000000001,0.111,0.000151,0.0015,0.0588,0.376,Rap
0.79,0.629,-4.055,0.142,0.182,7.06e-06,0.3379999999999999,0.267,Rap
0.728,0.622,-9.905,0.0384,0.0768,3.19e-06,0.118,0.111,Rap
0.431,0.898,-4.2330000000000005,0.166,0.011,0.00115,0.523,0.192,Rap
0.731,0.8109999999999999,-3.225,0.0712,0.0204,0.0,0.411,0.426,Rap
0.7,0.825,-5.234,0.0848,0.183,0.7979999999999999,0.107,0.115,Rap
0.5920000000000001,0.584,-6.232,0.0893,0.158,2.63e-06,0.132,0.447,Rap
0.758,0.6970000000000001,-6.456,0.321,0.0853,0.0,0.1,0.755,Rap
0.807,0.687,-4.349,0.109,0.000852,0.0,0.0554,0.184,Rap
0.466,0.5479999999999999,-9.362,0.118,0.42,1.01e-06,0.113,0.423,Rap
0.897,0.6609999999999999,-6.2,0.27,0.0633,0.0,0.1159999999999999,0.193,Rap
0.69,0.491,-7.01,0.095,0.0329,0.0,0.163,0.4579999999999999,Rap
